pathway	description	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	1181.5714	860.1326	445.5839	270.9259	278.7924	388.37800000000004	304.4888	785.3778	1307.6457	408.4088	728.9244	459.3803	178.945	655.092	404.2584	764.806	514.0411	395.6134	613.7781	513.8263	523.6197	473.7999	317.4619	390.9906	674.1524	415.8838	443.0688	353.7294	473.8986	537.9064	530.3738	341.4476	887.8736	460.3333	779.5215	400.1815	263.0166	384.9352	252.7682	398.2044	578.0759	986.459	361.8389	444.4434	721.5701	386.5352	474.3672
GLUCONEO-PWY	gluconeogenesis I	19122.1593	25472.0934	27463.5447	25757.9534	28784.9888	23330.5317	25835.0688	21991.1595	25493.4477	22144.3681	21265.4097	27091.5559	28544.2439	26870.9193	26830.6215	20591.6737	25548.5905	22288.291	25051.3408	25033.9643	31964.6306	25331.9709	24240.6587	27005.9247	28938.7365	30134.3235	27945.8612	25067.1092	26213.9489	22901.047000000002	21130.3759	19500.1315	24877.0069	22547.7767	23776.2717	28125.6012	25358.9569	23935.8647	24665.5008	24219.4557	24665.3526	30647.437	16128.5405	21372.6845	15750.8838	21824.8292	25018.4105
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	249.6891	1588.2356	6351.7321	267.9943	239.6463	314.3905	109.3004	252.0832	335.8975	160.6965	342.7358	3610.7563	1793.5795	281.4379	2277.312	517.1131	4621.7438	338.1337	374.9237	532.3726	4178.6846	345.4778	223.2311	2634.6653	3018.7426	3238.1278	6962.8182	9805.7872	390.4856	166.2054	158.6067	229.136	1645.7301	225.8003	2735.7413	5227.8116	5317.6073	2672.9517	636.8584	234.3813	160.4402	368.1112	1368.2984	1347.7957	191.8408	348.7976	3166.5623
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	23494.104	17091.2609	18555.8643	19659.1054	25463.613999999998	14022.989	23400.4348	22154.4	17708.7705	21523.3642	14361.6371	20213.307	18413.145	21736.846	18738.6684	19159.811	16651.0682	13937.6182	17863.9247	12718.4003	25640.9205	18110.8644	15158.5031	23217.1857	26020.6205	21437.8676	18070.9149	12987.7808	18179.9013	28915.9928	28185.9999	29033.054	29683.23	25557.4748	22223.3961	12768.9282	11086.1598	18227.8969	10855.6523	15816.4874	27563.4533	17354.1181	9702.0952	20159.779	23925.0418	22776.7332	14466.3583
GLUTORN-PWY	L-ornithine biosynthesis	38192.8991	27540.9615	26192.1408	33542.7634	32345.3645	27375.5845	33785.0659	33583.2704	30229.9517	33642.5004	22075.5926	32867.913	24550.9405	33920.8845	32110.9517	30745.6813	29022.2164	21283.554	32875.492	24344.7242	32991.6792	27298.7758	26767.4518	30374.5629	33728.2382	28491.3538	25721.092	25381.7266	27827.994	36545.9628	36666.2447	37603.3876	36983.7709	32753.5349	28715.6493	32611.2599	31836.5322	31476.8361	29341.8368	23926.8083	39608.5331	29487.2885	17766.1557	33289.1277	42102.5533	37328.3351	30748.4033
GLYCOCAT-PWY	glycogen degradation I (bacterial)	52701.7725	40455.7267	38002.1116	46365.2816	46969.39599999999	38375.1915	49211.6496	47508.5783	45078.3677	48359.9352	33073.5547	47353.5757	38694.2286	50607.3284	46948.2199	44504.9437	40544.7377	32845.4738	47579.0102	35859.6653	47678.4749	42414.1017	40849.0576	44035.6913	49088.8744	42386.7255	37867.7315	34058.4093	42335.1991	52316.9272	51336.823	52001.8849	52082.455	46840.6053	40050.232	40269.7352	35460.581	42322.5493	33159.3691	32716.7172	57574.9667	40919.6821	23740.4526	47368.9422	60544.3069	53506.1097	40570.6956
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	48615.3258	36016.1893	31634.6587	43108.6497	42840.513	37489.3685	45866.8872	44035.0502	40684.8647	44343.8951	30642.0729	41276.3159	36452.8268	45961.5016	43083.5974	42311.6101	35881.1625	30223.6615	44020.5208	33634.282999999996	42281.2422	39774.0297	38038.3088	38973.8686	43651.0359	38307.2997	31865.0536	27186.3596	38428.3693	47569.0415	47004.4536	47437.9624	47046.5316	42769.4897	35928.6525	37425.8431	35588.7301	38916.7085	33166.0853	29259.6199	51006.8435	35782.1195	21485.0473	41870.6966	54729.4956	48362.5239	36893.2356
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	202.8647	340.1754	420.5877	352.0623	259.9352	380.1055	183.0257	311.2965	154.1718	173.8715	284.7575	267.796	278.4573	209.8878	183.7798	412.1154	215.4634	314.0761	312.6119	445.7979	256.3575	218.364	127.3041	249.8104	160.8473	243.5983	219.7604	173.5722	256.7721	130.3588	150.3413	188.7705	147.7523	169.1908	232.7955	153.6026	153.9716	310.5129	237.8682	349.9837	159.4534	226.7867	243.9683	145.9938	119.631	154.3626	194.3405
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	16968.2119	24572.077	25021.6587	14510.0812	30734.3029	17364.749	21234.5249	23672.8742	20917.0767	19232.6668	18501.6727	22634.2495	23432.5096	28644.8073	28647.685	22229.4192	23514.8987	19862.2385	26723.9564	19821.8794	33978.9484	24079.6248	19686.2409	25660.4152	24548.134	22772.7938	23610.2393	25035.9074	21479.482000000004	24630.9145	22789.2338	21058.8145	26648.0288	23624.5443	21559.8521	23810.5376	22279.9725	24047.1601	26294.0427	25486.2086	26443.7957	31963.1337	17277.1928	15162.9202	17164.1275	17664.8959	19975.3314
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	7941.2821	9982.1646	10907.7665	7828.2297	10519.5018	7361.4576	11231.168	9430.1678	6347.9041	9319.8057	8426.015	12400.6695	10849.0715	10872.888	7482.0244	7693.7464	7400.8067	8247.7025	8545.5947	7081.9062	8665.3656	9488.2156	10382.3395	12772.357	7613.0196	12746.3431	9841.396	6594.5836	11164.5497	9069.8886	8913.6267	8040.5824	11561.7177	10337.5113	8761.2958	7463.4151	4759.1893	10616.4034	9718.5045	11012.7784	10153.7263	10628.5959	7828.6466	6032.5199	6353.6685	8056.9136	6294.8996
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	977.1345	1297.9203	1741.5331	1099.8382	1217.1429	1643.4129	900.9386	1548.3823	729.0832	784.9686	1237.6922	1248.8747	1294.8357	1011.0219999999999	1041.761	1797.3624	1170.6456	1251.9918	1458.7018	1729.7338	1247.7368	1184.3388	945.3049	1534.6763	893.6358	872.4915	1437.1181	1197.9381	1040.941	618.694	631.8294	916.7539999999999	611.0273	733.6131	995.0394	1105.3905	1082.3356	1010.1846	918.4361	1251.5385	630.0208	845.2994	890.2269	744.1558	589.9037	770.6983	1023.0519
GLYOXYLATE-BYPASS	glyoxylate cycle	344.5333	480.8231	698.8384	487.5402	431.3879	628.5314	240.0527	474.6314	199.5146	222.6192	368.3515	355.1098	352.8102	273.5566	330.0927	660.1754	368.0336	438.2654	494.517	637.5769	395.2313	382.9062	331.2439	531.8654	286.5372	299.0635	468.6003	403.3206	356.45599999999996	194.5278	208.3248	330.8606	202.954	264.6554	345.5959	387.0184	412.0795	334.1865	245.2159	360.1135	164.7723	226.0703	256.7035	201.986	156.7627	201.4738	284.6003
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	41.5397	56.2725	70.8621	33.304	69.7797	114.9637	31.285	38.7274	87.0382	135.4723	70.8734	41.3493	97.2062	189.3997	207.6058	230.92700000000002	199.2319	235.8181	209.0708	278.6587	210.9174	280.16700000000003	264.9829	211.1935	116.4432	137.5022	132.7348	157.4793	421.8488	109.079	19.531	24.9435	62.0937	50.673	147.5923	76.2221	87.7568	86.4347	107.6854	61.2907	92.5803	90.764	62.6005	73.0579	85.0623	121.7673	24.6458
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	33.9678	38.6987	37.9985	23.5378	51.1872	69.6455	11.1991	11.4418	11.6433	10.2049	8.1611	10.243	34.2916	24.8546	55.104	73.1435	43.8699	46.6394	46.8344	60.7882	59.3296	73.2308	17.0855	8.9381	14.4247	12.6091	13.2386	14.0236	30.3657	21.3545	26.9844	33.4989	35.268	28.5539	22.6195	33.766999999999996	49.4268	50.7324	9.0759	10.8872	12.0334	6.579	6.0342	6.7798	18.9286	25.6688	15.9788
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	435.67800000000005	385.9024	726.9561	732.0213	374.7231	448.4433	535.9624	741.0314	355.0474	287.9397	532.9578	615.6914	542.2917	515.4557	415.2518	492.0659	660.5544	625.3373	518.5335	1012.2625	626.0448	739.4514	548.0923	435.4936	546.9493	684.8477	763.0928	538.3297	950.9789	547.0705	443.5331	308.0196	367.0673	284.7403	413.5454	606.6357	626.8618	1123.845	1236.4216	924.3351	584.3525	928.8075	857.0635	412.4293	343.1255	608.0406	533.5398
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	1041.4359	906.9538	1383.2245	1291.8159	1021.547	1083.6358	1015.3184	1459.6468	641.4135	673.4497	926.4986	896.5815	937.4304	1015.6593	991.7388	1358.2347	974.4074	1058.6755	1183.4631	1379.4096	1046.9811	1068.2226	1100.7467	1080.0699	1050.5234	1193.3372	1048.2282	1065.8891	1467.5859	961.087	809.6263	726.2936	759.2642	650.2475	965.5084	1640.3744	1662.2856	2075.0926	3417.0442	1218.9864	871.4347	1097.2843	1578.7369	1039.1255	800.1410000000001	1431.5175	1372.1486
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	1542.9379999999999	2042.1568	1594.0912	1444.6408	2503.3879	2289.0659	2504.1447	2409.6556	2218.0976	2091.6695	1820.4117	1931.0598	3439.6969	3249.0326	1837.1711	2567.6811	1330.9397	3505.2294	2114.4145	1971.0872	2027.9235	2173.8203	3327.3455	1254.9457	1049.9488	2157.3451	1410.0468	1561.7599	2277.1558	1490.9717	1239.6004	787.6481	1099.8925	1511.6832	1335.6403	1129.8946	1325.2134	2343.2562	2574.9996	1351.2268	1906.1898	2183.2508	1814.6557	1138.1106	1714.9997	1758.9288	1651.9529
HISDEG-PWY	L-histidine degradation I	2024.8177	2461.0358	3201.0773	2189.8458	2122.3253	2135.018	2276.0886	2106.155	3391.8483	1752.0636	2508.9902	1886.7673	4363.163	1475.3038	1303.4604	1245.4697	1853.8902	3067.5698	1512.6153	2628.5006	1545.5891	2105.5853	1860.2755	2082.8825	2685.5191	3835.8223	3345.5529	1924.9817	2075.0756	1559.2556	1806.7098	1728.3947	2453.1534	1734.6758	2433.3237	1642.2116	916.0512	1198.153	935.8164	1340.3492	2852.6178	2307.51	1225.2659	1044.4351	1965.3904	1563.4457	1145.4869
HISTSYN-PWY	L-histidine biosynthesis	37933.5218	28446.347999999998	26672.2447	34151.035	33582.0597	28630.1638	34684.8797	34148.8329	31129.939	34256.2941	23111.4099	32983.9106	26366.4722	34972.0074	33072.5138	31848.7863	29149.2523	23254.3863	34016.7891	25723.6043	33854.1389	29110.6535	28378.9493	31195.4446	34186.3348	29458.9907	26220.9135	24982.6365	29392.2722	36793.4554	36786.8612	37243.5149	36566.2263	33542.5955	28590.445	32491.9154	31763.7171	31466.2145	29139.4626	23952.0555	38537.1464	28346.632	17787.5973	33497.2252	41686.4577	37566.6222	31052.4581
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	6099.8657	2614.2425	2861.7622	8634.7212	3354.1902	3685.9068	3791.8679	3465.118	2563.2092	4640.2039	2794.0981	4463.3432	2853.3759	3522.6229	2502.2911	7984.0179	2646.7857	2699.4767	3649.1709	3613.785	2299.8723	3335.9934	3159.2312	4575.0896	2679.1708	2745.7985	3080.2971	2462.7129	3157.4119	5037.3654	7108.9089	4137.9341	4274.0561	5106.9823	2505.292	2885.0869	2111.3791	7245.0985	5656.9536	5469.4447	4223.259	8232.9528	3764.6144	6389.547	4837.7144	3048.2978	4669.2179
HSERMETANA-PWY	L-methionine biosynthesis III	3073.3677	3124.1039	9818.2598	2945.6337	3014.5556	3731.7968	2669.2592	3284.9019	2596.9936	2352.3108	2852.2028	5860.5378	4378.3079	3591.8621	3872.1538	3848.6438	7066.6983	2627.7996	3725.2222	3553.5917	6704.2597	2564.2327	2833.7239	4843.8977	5473.0222	5957.1174	10512.8063	13560.1274	3215.7958	2710.5757	3144.0535	3697.4741	3305.3758	2523.4472	4722.6535	8933.4586	8249.3679	4656.2426	5842.9242	5705.8296	3277.2641	8644.6257	3910.4338	2890.1095	1363.1341	2079.7046	5926.3339
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	51392.4776	38548.4798	37821.2692	45851.2837	46720.8101	38834.8128	49414.5423	47188.4209	42865.8323	46404.7837	33756.9206	46278.9974	39155.3093	48805.5642	46355.8149	44744.4084	40223.4666	32451.6273	47630.6875	35421.425	47518.3228	42602.693	40399.9755	43708.5043	47871.5885	43232.484000000004	37854.8774	33666.8373	40852.3553	50842.2741	50395.29	52307.2375	51623.3801	46251.5368	39791.1548	42494.099	40207.1978	43734.5242	39241.1124	34575.494	55818.7619	42459.3989	25457.0175	45623.7725	57641.0527	51433.4531	41464.9478
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	387.0493	568.0005	694.2469	534.2997	536.628	712.2178	239.7937	555.3714	297.877	266.2842	435.5853	540.7797	582.0889	361.1841	531.3338	747.2608	710.944	729.4542	733.1348	1119.1055	794.5266	740.262	382.88699999999994	733.3356	420.6538	429.0242	590.2387	645.5675	638.2356	308.9651	268.6618	475.9559	407.1456	381.36199999999997	428.8957	627.1743	729.5403	549.5888	164.2497	367.6188	231.4726	235.6661	244.2595	269.8966	196.0778	312.6611	294.3048
KETOGLUCONMET-PWY	ketogluconate metabolism	9.3333	1.9914	9.8412	34.0604	0.0	6.9082	11.8913	3.9613	10.4457	1.9812	20.9321	50.3874	1.9869	5.5446	3.6246	32.4543	15.7946	15.5558	2.6504	37.1532	3.9663	10.1349	10.687000000000001	2.6484	13.0773	1.9895	1.3368	54.3882	3.9621	0.6579999999999999	0.9955	1.9888	8.9982	0.0	5.9159	21.484	1.9961	5.6305	4.6538	4.9854	5.6154	1.9986	0.0	8.4948	0.0	1.6554	4.9465
LACTOSECAT-PWY	lactose and galactose degradation I	440.5084	685.9077	610.7034	333.9106	970.6695	652.6533	793.3716	801.3663	778.4785	606.803	779.9358	732.0001	900.2757	1030.9163	569.2041	769.0942	240.3104	1137.422	475.8985	540.8037	523.8112	581.7522	938.0980000000001	365.832	314.4474	336.9624	418.2266	550.6014	1032.6482	413.4695	341.778	212.0747	248.7374	382.1844	407.7305	267.7922	320.7417	1087.4468	875.5634	403.4629	539.1842	406.4195	663.4414	424.5712	464.055	549.8433	557.5463
LEU-DEG2-PWY	L-leucine degradation I	310.6592	210.5337	428.0618	419.7231	145.3051	235.7523	286.0341	355.2136	137.1205	156.5401	234.8428	153.6388	102.2137	150.9567	214.0137	412.579	185.4856	220.0357	231.7043	223.8781	102.5808	221.2862	243.7205	375.8678	204.2232	296.1065	294.9171	213.2206	116.8521	139.7258	167.4586	236.1965	127.6595	151.0812	230.1065	309.3879	203.217	244.2843	275.8362	353.1969	133.7485	145.2428	257.5238	185.6707	71.0929	137.9538	287.872
LIPASYN-PWY	phospholipases	0.0	0.0	0.0	40.641	0.0	0.0	0.0	2.4859999999999998	0.0	0.0	0.0	41.5095	0.0	0.0	2.4903	4.9633	2.4814	0.0	0.0	40.3169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.3169	0.0	0.0	0.0	2.4461	4.7708	0.0	4.9031	25.1009	0.0	0.0	0.0	4.9421	2.4791	2.4828	0.0	9.7701	0.0	0.0	0.0
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	0.0	12.6433	25.1012	26.5104	59.9241	0.0	7.8469	6.3577	11.7514	12.4774	30.7713	54.3608	48.9152	0.0	0.0	12.6608	13.4555	12.6759	32.7482	39.2553	6.3702	0.0	12.5726	20.5256	0.0	24.8278	69.2176	70.9194	60.6335	0.0	6.3183	18.752	11.457	6.3414	24.7906	12.6551	43.2889	0.0	13.804	30.5237	0.0	18.3894	12.4509	20.0032	18.177	0.0	6.3263
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	8808.0516	3899.4711	4260.8396	11981.3489	4991.3767	5438.184	5632.334	5153.7891	3842.7799	6778.4567	4144.6476	6550.255	4265.4068	5246.5916	3768.4322	11228.3518	3956.8164	4000.5318	5413.7279	5302.0097	3472.3349	4959.639	4697.7377	6676.5431	4020.8972	4114.5433	4571.8302	3676.0823	4686.5167	7359.6626	10117.041	6109.6486	6303.4154	7416.5448	3745.4895	4304.3196	3180.0975	10197.962	8056.3794	7693.8701	6255.0465	11313.337	5354.1541	9100.9678	7125.7501	4562.9118	6773.3055
METH-ACETATE-PWY	methanogenesis from acetate	1156.7858	1989.3838	1510.2628	1279.9978	1850.6605	2470.7424	1283.4715	1243.5473	1610.4325	1503.2892	1220.8991	1610.5903	1929.2695	2089.6136	2288.101	2202.3965	1279.5313	4213.5398	1581.7888	1680.0936	1637.1672	1808.9176	3064.889	1242.8715	794.9602	1616.0166	1082.5807	1428.7653	2087.6293	1043.3145	1073.9653	925.1309	1155.6142	2184.2733	990.5636	1182.7356	1202.5116	1321.7245	872.1179	930.7405	885.5658	1585.6435	651.0699	996.1407	1094.641	878.4162	2073.0438
METHGLYUT-PWY	superpathway of methylglyoxal degradation	69.2253	118.5645	106.7603	126.9952	98.7055	123.1642	18.9765	117.5238	19.1667	53.2492	45.3915	101.4694	73.4785	40.4401	25.3643	161.5936	50.9875	89.411	79.3183	135.4008	75.765	62.8426	53.1297	118.4474	47.9624	77.5849	80.1147	104.6302	95.6521	41.0359	24.9483	74.3451	27.9923	58.0294	50.6893	61.246	62.3976	32.047	21.8259	104.5428	26.2024	72.7433	34.5575	64.328	41.4459	39.0644	11.4587
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	34.3849	44.1745	142.5448	18.3366	28.5057	66.5416	26.0762	10.4625	16.8517	42.4042	96.6324	28.9565	22.1967	44.2101	69.6119	94.2153	52.5274	92.735	91.719	79.3901	61.6971	84.7974	24.3964	10.0997	29.6152	40.9901	111.6436	24.0228	23.9863	28.7851	12.15	9.9367	19.1094	29.4858	115.8189	22.3614	24.3806	45.5967	31.0511	4.887	14.9086	33.195	74.4579	8.4463	14.4779	33.6834	22.0316
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	1790.126	1517.1931	1454.7716	2099.451	1448.0565	1458.1828	2026.2721	2304.3288	1044.4504	941.0046	1706.2983	2789.2033	891.6432	2668.7286	1683.6123	2507.4770000000003	1145.6026	894.0214	2265.1414	2051.3705	1771.9484	1050.68	2142.8274	933.033	729.3107	477.3709	1080.9064	1068.4358	1486.7669	1865.465	1077.5134	1103.3411	768.5544	855.8029	981.1615	934.5885	598.5294	1191.458	1118.2289	707.0775	1495.2419	1481.6982	806.8386	1094.8962	931.8016	760.7741	1104.5317
NADSYN-PWY	NAD biosynthesis II (from tryptophan)	0.0	11.1591	22.6426	27.5167	16.9956	13.2853	3.7324	3.7747	0.0	0.0	0.0	36.2506	3.5567	6.4568	3.7445	22.5139	7.4301	24.0681	25.0809	39.8291	9.5062	3.7097	7.1741	22.1986	14.5695	14.0125	35.6683	62.8138	3.6192	3.6224	9.4247	7.066	0.0	17.1106	3.9416	38.2486	6.5156	6.7998	6.7318	7.2151	0.0	14.3865	3.9154	44.4872	9.1285	0.0	10.4965
NAGLIPASYN-PWY	lipid IVA biosynthesis	1762.5910000000001	3751.5362	7393.1477	3034.5429	2341.8089	2717.4106	2576.9216	2270.0529	3605.2725	2152.3503	3027.0827	4154.474	6234.9033	1618.3342	2783.2595	1652.7966	4793.5078	3808.296	2063.3602	4435.9537	4304.6162	3213.6215	2823.1604	4286.9836	4673.1599	7109.8066	8583.5846	8379.0302	3622.2526	1992.1474	2094.5418	1789.9586	2565.9827	2325.4962	3655.965	5212.9913	4940.3113	3491.4075	2462.8746	1925.7961	1038.5781	1648.8529	2425.2225	1945.7414	758.9839999999999	1764.7552	3436.0973
NONMEVIPP-PWY	methylerythritol phosphate pathway I	43497.1103	32089.4791	29556.8293	38833.2096	36973.2799	33396.6274	39700.3766	38100.2581	36615.8218	39325.0126	26971.577999999998	36489.1112	32431.0673	39103.5679	37530.2431	37144.1119	32674.6227	26765.0027	38555.0498	30221.2383	36907.5502	34439.9539	32879.1736	34621.3126	39268.8661	34280.9247	30598.5861	28137.8338	33394.7871	41474.9146	41547.7687	42543.3545	41601.5783	37544.1517	32625.6742	35368.4342	33918.57	34398.9599	30788.5029	26014.1228	43833.3412	31953.8362	19497.3629	37021.3423	47739.3152	42579.1552	33512.3075
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	67647.2897	52566.9166	43552.0951	56765.2016	60254.7613	49684.34099999999	64235.4293	61312.9469	58852.3054	60308.7689	45140.1199	60452.5362	49400.645	64182.8959	57525.2425	57613.2804	48560.7174	41762.1094	61388.7056	45351.8751	56918.6847	55411.1524	52425.1911	54933.127	59837.5507	53442.7673	44061.2138	37192.9454	53827.9313	66217.2678	63977.0661	67569.9944	66516.5349	59374.8134	49989.7228	52920.6671	50710.2873	55329.4127	49047.7425	43031.4533	75337.8097	53239.0792	31472.7597	59194.1066	76649.6714	68271.9716	53198.1466
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	34595.3228	25190.4634	19031.9514	29646.3459	28334.3741	24885.662999999997	29944.6142	29257.3293	29422.2826	31364.9235	20231.8838	25584.3915	23825.0301	29909.5522	27605.3386	28489.3057	23780.4869	20586.7649	29955.0635	22966.5715	25813.6924	25860.6699	25183.3211	25087.161	29694.803	24397.3769	19982.9987	18411.0701	25800.4164	32215.6267	32472.2774	34030.7235	32245.7769	29141.7576	25195.1038	25174.2082	24959.6754	25959.9781	24540.6876	19826.0051	32451.6606	23810.4825	14430.4802	28257.8723	37302.2614	33425.8799	25110.6221
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	110.1107	167.5618	193.4293	162.7786	135.7077	224.7466	61.9602	173.2278	74.7759	87.4388	128.8383	154.1237	118.4105	102.3294	156.1654	307.7449	184.1028	223.9486	273.2155	363.4238	196.3813	221.8669	131.2619	225.6881	111.9457	138.8595	175.9356	189.28099999999998	169.8784	89.6708	79.1077	151.8242	104.9645	123.1115	132.8515	180.3892	170.1159	165.9993	51.3329	121.101	70.1256	80.1779	75.9316	91.9619	52.0999	86.6409	74.4324
ORNDEG-PWY	superpathway of ornithine degradation	100.7605	169.2136	164.2802	128.9736	117.7827	184.0286	62.1036	157.5327	75.0964	80.4618	111.0548	127.3732	106.9376	93.4805	135.7689	260.3357	153.8386	213.7869	239.9479	308.35400000000004	163.9091	196.8722	132.3042	185.8739	98.5793	147.4045	163.7561	157.2476	157.6763	80.851	66.2113	124.9869	89.2409	104.1855	116.5455	161.6176	149.5839	145.5566	50.9758	106.4822	59.8829	79.918	65.4305	74.1652	44.9089	76.2703	78.2718
P101-PWY	ectoine biosynthesis	20.265	21.064	10.8579	14.072000000000001	54.6044	33.9784	11.7031	15.1916	7.2153	0.0	2.4779	0.0	44.7171	12.9517	7.3676	8.6119	18.0595	6.1906	0.0	0.0	45.1229	12.2141	16.8827	14.5127	10.8582	2.4834	4.9462	2.487	41.6954	9.5618	22.7223	11.9311	6.0841	0.0	0.0	1.2465	40.3458	21.2609	9.4849	22.8373	8.3223	4.8832	2.4637	0.0	21.9918	13.8928	14.1825
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	1172.2559	1875.0323	2270.4258	1470.0788	1285.9168	1718.2798	789.1614	1235.0227	931.2097	1118.4453	1474.2493	1398.5787	1219.2155	917.8452	1260.1784	1664.4164	1491.1113	1834.7089999999998	1797.953	2435.1699	1527.9515	1385.1862	1284.6660000000002	1560.8346	1178.4604	1495.7839	1954.8834	1723.7615	1321.7675	750.1735	767.2341	925.3195	918.0512	1138.6645	1551.5243	1636.0212	1395.2174	1349.0136	930.2767	1063.2442	784.9581	1221.5777	1152.9294	917.6185	569.9484	734.4176	1145.1243
